round(Avg(Temp))	ChangeDate
35	2018-10-02 18:26:00.502113
35	2018-10-02 18:27:00.725017
35	2018-10-02 18:28:01.246069
35	2018-10-02 18:29:00.714452
35	2018-10-02 18:30:00.192814
35	2018-10-02 18:31:01.393454
35	2018-10-02 18:32:00.880139
35	2018-10-02 18:33:00.362884
35	2018-10-02 18:34:01.592914
35	2018-10-02 18:35:00.275193
35	2018-10-02 18:36:01.522918
35	2018-10-02 18:37:01.061984
35	2018-10-02 18:38:00.529540
35	2018-10-02 18:39:01.731868
35	2018-10-02 18:40:01.577776
35	2018-10-02 18:41:01.094171
35	2018-10-02 18:42:00.548231
35	2018-10-02 18:43:00.014067
35	2018-10-02 18:44:01.283728
35	2018-10-02 18:45:10.414413
35	2018-10-02 18:46:01.178134
35	2018-10-02 18:47:00.631027
35	2018-10-02 18:48:00.761480
35	2018-10-02 18:49:00.221109
35	2018-10-02 18:50:01.403751
35	2018-10-02 18:51:00.901744
35	2018-10-02 18:52:00.396805
35	2018-10-02 18:53:00.069837
35	2018-10-02 18:54:01.180694
35	2018-10-02 18:55:00.617343
35	2018-10-02 18:56:00.128153
35	2018-10-02 18:57:01.350699
35	2018-10-02 18:58:00.858466
35	2018-10-02 18:59:00.337432
35	2018-10-02 19:00:01.575905
35	2018-10-02 19:01:01.075684
35	2018-10-02 19:02:00.551494
35	2018-10-02 19:03:00.395707
35	2018-10-02 19:04:01.314663
35	2018-10-02 19:05:00.854923
35	2018-10-02 19:06:00.259418
35	2018-10-02 19:07:01.539729
35	2018-10-02 19:08:01.185840
35	2018-10-02 19:09:00.604563
35	2018-10-02 19:10:00.003495
35	2018-10-02 19:11:01.245103
35	2018-10-02 19:12:00.722298
35	2018-10-02 19:13:00.277830
35	2018-10-02 19:14:01.472384
35	2018-10-02 19:15:00.934328
35	2018-10-02 19:16:00.404667
35	2018-10-02 19:17:01.643718
35	2018-10-02 19:18:01.121410
35	2018-10-02 19:19:00.652105
35	2018-10-02 19:20:00.054202
35	2018-10-02 19:21:01.302856
35	2018-10-02 19:22:00.811789
35	2018-10-02 19:23:00.241824
35	2018-10-02 19:24:01.481760
35	2018-10-02 19:25:01.057605
35	2018-10-02 19:26:00.523746
35	2018-10-02 19:27:01.695303
35	2018-10-02 19:28:01.255465
35	2018-10-02 19:29:00.668444
35	2018-10-02 19:30:00.155362
35	2018-10-02 19:31:01.377399
35	2018-10-02 19:32:00.939861
35	2018-10-02 19:33:00.333255
35	2018-10-02 19:34:00.729432
35	2018-10-02 19:35:04.448242
35	2018-10-02 19:36:01.473960
35	2018-10-02 19:37:00.955033
35	2018-10-02 19:38:00.456508
35	2018-10-02 19:39:01.664097
35	2018-10-02 19:40:01.148115
35	2018-10-02 19:41:00.636853
35	2018-10-02 19:42:00.104897
35	2018-10-02 19:43:01.363738
35	2018-10-02 19:44:00.823894
35	2018-10-02 19:45:00.293697
35	2018-10-02 19:46:01.543754
35	2018-10-02 19:47:01.026563
35	2018-10-02 19:48:00.527163
35	2018-10-02 19:49:01.728097
35	2018-10-02 19:50:01.238849
35	2018-10-02 19:51:00.704993
35	2018-10-02 19:52:00.216899
35	2018-10-02 19:53:02.593698
35	2018-10-02 19:54:00.928473
35	2018-10-02 19:55:00.479532
35	2018-10-02 19:56:01.660117
35	2018-10-02 19:57:00.125269
35	2018-10-02 19:58:00.542179
35	2018-10-02 19:59:00.066200
35	2018-10-02 20:00:01.297219
35	2018-10-02 20:01:00.799711
35	2018-10-02 20:02:00.254366
35	2018-10-02 20:03:01.468980
35	2018-10-02 20:04:00.065372
35	2018-10-02 20:05:01.325399
35	2018-10-02 20:06:00.786820
35	2018-10-02 20:07:00.267073
35	2018-10-02 20:08:01.511768
35	2018-10-02 20:09:00.992845
35	2018-10-02 20:10:11.801671
35	2018-10-02 20:11:01.270879
35	2018-10-02 20:12:00.675377
35	2018-10-02 20:13:00.577875
35	2018-10-02 20:14:00.496574
35	2018-10-02 20:15:01.736761
35	2018-10-02 20:16:01.228331
35	2018-10-02 20:17:00.705134
35	2018-10-02 20:18:00.198813
35	2018-10-02 20:19:01.457616
35	2018-10-02 20:20:00.935465
35	2018-10-02 20:21:00.453005
35	2018-10-02 20:22:00.037929
35	2018-10-02 20:23:01.138701
35	2018-10-02 20:24:00.669984
35	2018-10-02 20:25:00.118710
35	2018-10-02 20:26:01.365351
35	2018-10-02 20:27:00.818243
35	2018-10-02 20:28:00.362068
35	2018-10-02 20:29:01.513883
35	2018-10-02 20:30:00.996634
35	2018-10-02 20:31:00.445757
35	2018-10-02 20:32:01.706138
35	2018-10-02 20:33:01.182697
35	2018-10-02 20:34:00.680072
35	2018-10-02 20:35:00.203139
35	2018-10-02 20:36:01.446148
35	2018-10-02 20:37:00.950626
35	2018-10-02 20:38:00.419830
35	2018-10-02 20:39:01.659604
35	2018-10-02 20:40:01.147172
35	2018-10-02 20:41:00.645156
35	2018-10-02 20:42:00.147612
35	2018-10-02 20:43:01.359712
35	2018-10-02 20:44:00.847503
35	2018-10-02 20:45:00.306121
35	2018-10-02 20:46:01.531383
35	2018-10-02 20:47:01.003870
35	2018-10-02 20:48:00.489500
35	2018-10-02 20:49:01.712017
35	2018-10-02 20:50:01.247747
35	2018-10-02 20:51:00.664776
35	2018-10-02 20:52:00.171061
35	2018-10-02 20:53:01.343966
35	2018-10-02 20:54:00.843545
35	2018-10-02 20:55:00.439053
35	2018-10-02 20:56:01.576949
35	2018-10-02 20:57:01.079854
35	2018-10-02 20:58:00.581332
35	2018-10-02 20:59:00.038496
35	2018-10-02 21:00:01.269872
35	2018-10-02 21:01:00.759599
35	2018-10-02 21:02:00.263246
35	2018-10-02 21:03:01.543056
35	2018-10-02 21:04:01.014074
35	2018-10-02 21:05:00.523803
35	2018-10-02 21:06:01.727511
35	2018-10-02 21:07:01.254218
35	2018-10-02 21:08:00.763950
35	2018-10-02 21:09:00.256666
35	2018-10-02 21:10:01.438156
35	2018-10-02 21:11:00.966537
35	2018-10-02 21:12:00.388981
35	2018-10-02 21:13:01.627664
35	2018-10-02 21:14:01.126723
36	2018-10-02 21:15:00.621748
36	2018-10-02 21:16:00.132655
36	2018-10-02 21:17:01.320843
36	2018-10-02 21:18:00.853804
36	2018-10-02 21:19:00.325838
36	2018-10-02 21:20:01.599080
36	2018-10-02 21:21:01.040716
35	2018-10-02 21:22:00.489413
35	2018-10-02 21:23:01.701508
35	2018-10-02 21:24:01.195572
35	2018-10-02 21:25:00.665280
35	2018-10-02 21:26:00.310076
35	2018-10-02 21:27:01.376743
36	2018-10-02 21:28:00.881240
35	2018-10-02 21:29:00.395028
35	2018-10-02 21:30:01.601699
35	2018-10-02 21:31:01.078705
35	2018-10-02 21:32:00.585596
35	2018-10-02 21:33:00.055641
35	2018-10-02 21:34:01.296812
35	2018-10-02 21:35:00.768797
35	2018-10-02 21:36:00.268263
35	2018-10-02 21:37:01.618894
35	2018-10-02 21:38:00.989679
35	2018-10-02 21:39:00.467518
35	2018-10-02 21:40:01.706486
35	2018-10-02 21:41:01.204073
35	2018-10-02 21:42:00.712904
35	2018-10-02 21:43:00.186845
35	2018-10-02 21:44:01.411176
35	2018-10-02 21:45:00.932719
35	2018-10-02 21:46:00.399269
35	2018-10-02 21:47:01.641796
35	2018-10-02 21:48:01.143159
35	2018-10-02 21:49:00.639006
35	2018-10-02 21:50:00.144618
