PHId	PMacid	PName	Abrivation	Current	Voltage	Power	ChangeBy	ChangeDate	PId	UnitId
170506	3C71BF106130	NULL	NULL	55.6	245	238.95	jts_admin	2018-11-29 00:57:00.000000	9	740
170510	3C71BF106130	NULL	NULL	54.9	246	464.1	jts_admin	2018-11-29 00:58:00.000000	9	740
170513	3C71BF106130	NULL	NULL	57.5	246	206.54	jts_admin	2018-11-29 00:59:00.000000	9	740
170516	3C71BF106130	NULL	NULL	54.8	245	445.21	jts_admin	2018-11-29 01:00:00.000000	9	740
170519	3C71BF106130	NULL	NULL	55.5	246	687.46	jts_admin	2018-11-29 01:01:00.000000	9	740
170523	3C71BF106130	NULL	NULL	55.4	246	914.48	jts_admin	2018-11-29 01:02:00.000000	9	740
170527	3C71BF106130	NULL	NULL	53.9	244	1144.52	jts_admin	2018-11-29 01:03:00.000000	9	740
170531	3C71BF106130	NULL	NULL	55.6	246	1352.84	jts_admin	2018-11-29 01:04:00.000000	9	740
170535	3C71BF106130	NULL	NULL	56.6	246	1593.02	jts_admin	2018-11-29 01:05:00.000000	9	740
170539	3C71BF106130	NULL	NULL	55.3	246	1819.88	jts_admin	2018-11-29 01:06:00.000000	9	740
170543	3C71BF106130	NULL	NULL	54.2	246	2045.82	jts_admin	2018-11-29 01:07:00.000000	9	740
170547	3C71BF106130	NULL	NULL	54.8	245	2280.49	jts_admin	2018-11-29 01:08:00.000000	9	740
170551	3C71BF106130	NULL	NULL	55.4	245	188.66	jts_admin	2018-11-29 01:09:00.000000	9	740
170557	3C71BF106130	NULL	NULL	55.5	251	461.34	jts_admin	2018-11-29 01:11:00.000000	9	740
170560	3C71BF106130	NULL	NULL	54.7	246	216.48	jts_admin	2018-11-29 01:12:00.000000	9	740
170566	3C71BF106130	NULL	NULL	56	247	464.11	jts_admin	2018-11-29 01:14:00.000000	9	740
170570	3C71BF106130	NULL	NULL	55.6	247	210.46	jts_admin	2018-11-29 01:15:00.000000	9	740
170574	3C71BF106130	NULL	NULL	56.4	252	225.06	jts_admin	2018-11-29 01:16:00.000000	9	740
170581	3C71BF106130	NULL	NULL	54.1	247	433.27	jts_admin	2018-11-29 01:18:00.000000	9	740
170584	3C71BF106130	NULL	NULL	55.5	245	239.42	jts_admin	2018-11-29 01:19:00.000000	9	740
170588	3C71BF106130	NULL	NULL	54.7	247	208.46	jts_admin	2018-11-29 01:20:00.000000	9	740
170592	3C71BF106130	NULL	NULL	57.2	247	233.05	jts_admin	2018-11-29 01:21:00.000000	9	740
170595	3C71BF106130	NULL	NULL	55.7	246	204.33	jts_admin	2018-11-29 01:22:00.000000	9	740
170598	3C71BF106130	NULL	NULL	54.9	245	223.21	jts_admin	2018-11-29 01:23:00.000000	9	740
170601	3C71BF106130	NULL	NULL	55.2	244	455.05	jts_admin	2018-11-29 01:24:00.000000	9	740
170604	3C71BF106130	NULL	NULL	53.8	247	221.27	jts_admin	2018-11-29 01:25:00.000000	9	740
170607	3C71BF106130	NULL	NULL	54.5	246	235.23	jts_admin	2018-11-29 01:26:00.000000	9	740
170609	3C71BF106130	NULL	NULL	57	242	210.71	jts_admin	2018-11-29 01:27:00.000000	9	740
170613	3C71BF106130	NULL	NULL	56.3	247	208.2	jts_admin	2018-11-29 01:28:00.000000	9	740
170617	3C71BF106130	NULL	NULL	56.7	245	202.66	jts_admin	2018-11-29 01:29:00.000000	9	740
170619	3C71BF106130	NULL	NULL	56.1	246	456.85	jts_admin	2018-11-29 01:30:00.000000	9	740
170623	3C71BF106130	NULL	NULL	55.2	245	890.95	jts_admin	2018-11-29 01:32:00.000000	9	740
170625	3C71BF106130	NULL	NULL	56.2	246	227.04	jts_admin	2018-11-29 01:33:00.000000	9	740
170628	3C71BF106130	NULL	NULL	54.6	248	191.26	jts_admin	2018-11-29 01:34:00.000000	9	740
170632	3C71BF106130	NULL	NULL	55.4	246	451.37	jts_admin	2018-11-29 01:36:00.000000	9	740
170635	3C71BF106130	NULL	NULL	55.7	247	707.63	jts_admin	2018-11-29 01:37:00.000000	9	740
170644	3C71BF106130	NULL	NULL	55.5	243	1615.77	jts_admin	2018-11-29 01:41:00.000000	9	740
170648	3C71BF106130	NULL	NULL	54.7	246	459.92	jts_admin	2018-11-29 01:43:00.000000	9	740
170655	3C71BF106130	NULL	NULL	55.6	247	447.23	jts_admin	2018-11-29 01:45:00.000000	9	740
170659	3C71BF106130	NULL	NULL	57.5	246	231.09	jts_admin	2018-11-29 01:46:00.000000	9	740
170663	3C71BF106130	NULL	NULL	57.1	247	218.6	jts_admin	2018-11-29 01:47:00.000000	9	740
170666	3C71BF106130	NULL	NULL	56.1	244	444.12	jts_admin	2018-11-29 01:48:00.000000	9	740
170669	3C71BF106130	NULL	NULL	56.2	246	198.31	jts_admin	2018-11-29 01:49:00.000000	9	740
170672	3C71BF106130	NULL	NULL	55.6	247	206.58	jts_admin	2018-11-29 01:50:00.000000	9	740
170675	3C71BF106130	NULL	NULL	56.2	246	205.65	jts_admin	2018-11-29 01:51:00.000000	9	740
170679	3C71BF106130	NULL	NULL	54.8	247	211.13	jts_admin	2018-11-29 01:52:00.000000	9	740
170683	3C71BF106130	NULL	NULL	53.7	247	433.42	jts_admin	2018-11-29 01:53:00.000000	9	740
170687	3C71BF106130	NULL	NULL	55	246	676.67	jts_admin	2018-11-29 01:54:00.000000	9	740
170691	3C71BF106130	NULL	NULL	56.4	246	915.72	jts_admin	2018-11-29 01:55:00.000000	9	740
170695	3C71BF106130	NULL	NULL	56.6	247	1140.64	jts_admin	2018-11-29 01:56:00.000000	9	740
170699	3C71BF106130	NULL	NULL	55.6	247	222.95	jts_admin	2018-11-29 01:57:00.000000	9	740
170703	3C71BF106130	NULL	NULL	56.1	247	465.81	jts_admin	2018-11-29 01:58:00.000000	9	740
170707	3C71BF106130	NULL	NULL	56.2	247	687.33	jts_admin	2018-11-29 01:59:00.000000	9	740
170710	3C71BF106130	NULL	NULL	55.9	243	224.49	jts_admin	2018-11-29 02:00:00.000000	9	740
170713	3C71BF106130	NULL	NULL	57.4	248	217.45	jts_admin	2018-11-29 02:01:00.000000	9	740
170716	3C71BF106130	NULL	NULL	57.8	248	251.36	jts_admin	2018-11-29 02:02:00.000000	9	740
170723	3C71BF106130	NULL	NULL	55.9	246	444.31	jts_admin	2018-11-29 02:04:00.000000	9	740
170738	3C71BF106130	NULL	NULL	57.2	247	1616.19	jts_admin	2018-11-29 02:09:00.000000	9	740
170742	3C71BF106130	NULL	NULL	54.7	247	211.3	jts_admin	2018-11-29 02:10:00.000000	9	740
170746	3C71BF106130	NULL	NULL	55.6	249	452.44	jts_admin	2018-11-29 02:11:00.000000	9	740
170749	3C71BF106130	NULL	NULL	54.8	242	208.35	jts_admin	2018-11-29 02:12:00.000000	9	740
170752	3C71BF106130	NULL	NULL	55.4	247	443.64	jts_admin	2018-11-29 02:13:00.000000	9	740
170755	3C71BF106130	NULL	NULL	56	246	226.97	jts_admin	2018-11-29 02:14:00.000000	9	740
170759	3C71BF106130	NULL	NULL	54.6	248	208.44	jts_admin	2018-11-29 02:15:00.000000	9	740
170762	3C71BF106130	NULL	NULL	55.3	247	215.94	jts_admin	2018-11-29 02:16:00.000000	9	740
170764	3C71BF106130	NULL	NULL	55.5	246	233.42	jts_admin	2018-11-29 02:17:00.000000	9	740
170768	3C71BF106130	NULL	NULL	55.3	247	223.53	jts_admin	2018-11-29 02:18:00.000000	9	740
170772	3C71BF106130	NULL	NULL	55.4	243	430.63	jts_admin	2018-11-29 02:19:00.000000	9	740
170775	3C71BF106130	NULL	NULL	55.6	247	248.69	jts_admin	2018-11-29 02:20:00.000000	9	740
170778	3C71BF106130	NULL	NULL	56.6	247	232.39	jts_admin	2018-11-29 02:21:00.000000	9	740
170781	3C71BF106130	NULL	NULL	55.7	246	215.82	jts_admin	2018-11-29 02:22:00.000000	9	740
170784	3C71BF106130	NULL	NULL	55.1	247	215.27	jts_admin	2018-11-29 02:23:00.000000	9	740
170786	3C71BF106130	NULL	NULL	56.1	246	207.41	jts_admin	2018-11-29 02:24:00.000000	9	740
170789	3C71BF106130	NULL	NULL	55.4	247	199.14	jts_admin	2018-11-29 02:25:00.000000	9	740
170792	3C71BF106130	NULL	NULL	55.3	247	203.95	jts_admin	2018-11-29 02:26:00.000000	9	740
170795	3C71BF106130	NULL	NULL	56.1	248	452.81	jts_admin	2018-11-29 02:27:00.000000	9	740
170799	3C71BF106130	NULL	NULL	55.3	246	222.55	jts_admin	2018-11-29 02:28:00.000000	9	740
170818	3C71BF106130	NULL	NULL	55.6	247	1604.18	jts_admin	2018-11-29 02:34:00.000000	9	740
170822	3C71BF106130	NULL	NULL	54.7	243	1824	jts_admin	2018-11-29 02:35:00.000000	9	740
170827	3C71BF106130	NULL	NULL	55.7	243	452.09	jts_admin	2018-11-29 02:37:00.000000	9	740
170830	3C71BF106130	NULL	NULL	55.1	247	213.84	jts_admin	2018-11-29 02:38:00.000000	9	740
170834	3C71BF106130	NULL	NULL	55	247	217.87	jts_admin	2018-11-29 02:39:00.000000	9	740
170838	3C71BF106130	NULL	NULL	55.6	247	222.21	jts_admin	2018-11-29 02:40:00.000000	9	740
170842	3C71BF106130	NULL	NULL	55.8	247	220.16	jts_admin	2018-11-29 02:41:00.000000	9	740
